UserID,Age,AgeGroup,Gender,DailyScreenTime(hours),AI_Usage_Time(hours/day),Primary_AI_Use,Reliance_On_AI_For_Learning,Problems_Solved_Before_AI,Problems_Solved_With_AI,SleepHours,PhysicalActivity(hours),StressLevel,ProductivityScore
1,21,18-25,Male,6.5,3.2,Learning,Low,3,25,7.0,1.4,Medium,91
2,27,26-35,Female,5.8,1.5,Research,Medium,3,23,7.4,0.3,Medium,84
3,19,26-35,Female,4.2,3.6,Content Creation,Low,5,25,7.0,1.7,Medium,95
4,34,26-35,Male,7.2,2.3,Learning,Low,10,15,7.8,0.1,Medium,83
5,33,26-35,Male,6.4,1.8,Coding,High,4,19,7.6,0.3,Medium,84
6,27,26-35,Male,4.8,3.4,Coding,Medium,9,27,6.8,1.2,Medium,95
7,29,36-45,Male,2.3,3.4,Problem Solving,Low,10,14,5.7,1.8,Low,95
8,18,36-45,Male,3.2,2.2,Content Creation,Low,7,18,5.2,1.0,Low,92
9,33,26-35,Male,3.1,4.0,Research,High,4,22,5.2,1.5,Low,95
10,30,36-45,Female,6.9,3.2,Learning,Low,4,11,6.7,0.9,Medium,88
11,23,26-35,Female,2.8,1.6,Content Creation,High,3,16,6.8,0.7,Low,93
12,19,36-45,Male,5.1,1.0,Problem Solving,Low,9,16,6.5,0.1,Medium,82
13,33,26-35,Male,2.3,0.7,Learning,Medium,3,24,6.9,1.0,Low,92
14,26,26-35,Female,4.7,2.1,Learning,High,6,13,7.4,0.3,Medium,90
15,24,26-35,Male,4.5,2.7,Coding,Low,8,20,5.9,1.2,Medium,92
16,30,18-25,Female,3.6,1.8,Problem Solving,Low,9,22,7.6,1.1,Low,94
17,27,26-35,Male,6.3,2.8,Coding,Medium,10,19,6.2,1.0,Medium,87
18,25,26-35,Male,2.5,2.2,Content Creation,Medium,5,17,6.6,0.6,Low,95
19,33,26-35,Female,2.7,1.9,Coding,Low,10,11,5.9,1.7,Low,95
20,34,26-35,Male,5.5,1.0,Learning,Low,8,20,8.0,1.3,Medium,87
21,35,18-25,Female,7.8,3.3,Learning,High,4,11,7.2,0.6,Medium,86
22,29,26-35,Female,4.0,1.6,Coding,Low,10,26,7.8,0.9,Low,92
23,19,18-25,Male,3.4,1.9,Coding,High,10,12,7.5,1.2,Low,95
24,22,36-45,Female,3.3,0.7,Problem Solving,Medium,5,20,7.2,1.3,Low,91
25,23,18-25,Female,2.1,0.8,Coding,Medium,4,28,5.1,1.4,Low,91
26,24,26-35,Female,2.1,1.7,Research,Medium,10,23,5.0,1.1,Low,93
27,20,36-45,Male,5.0,3.6,Learning,High,10,25,5.7,2.0,Medium,95
28,21,26-35,Male,7.4,2.1,Learning,Medium,4,19,6.5,1.1,Medium,82
29,20,18-25,Male,6.9,3.2,Learning,High,9,23,6.9,0.6,Medium,87
30,32,36-45,Female,2.3,1.8,Content Creation,Medium,5,18,5.9,1.5,Low,95
31,22,26-35,Female,2.2,1.9,Problem Solving,High,9,20,6.3,0.5,Low,95
32,33,36-45,Male,7.9,2.9,Learning,Medium,3,13,7.1,1.2,Medium,85
33,33,18-25,Female,5.2,3.4,Learning,High,6,21,7.3,0.7,Medium,94
34,20,26-35,Male,5.3,2.8,Problem Solving,Medium,5,22,5.1,0.1,Medium,85
35,32,18-25,Female,3.0,3.6,Learning,High,5,25,5.5,1.0,Low,95
36,23,18-25,Male,7.6,2.3,Content Creation,High,8,17,7.3,0.8,Medium,83
37,29,26-35,Female,5.1,3.3,Coding,Low,4,24,7.6,0.5,Medium,94
38,19,36-45,Male,4.6,0.9,Learning,Low,6,13,6.7,1.5,Medium,87
39,21,18-25,Male,3.8,3.4,Research,Low,10,22,7.0,1.1,Low,95
40,22,36-45,Male,5.8,3.6,Content Creation,Medium,3,24,5.3,1.9,Medium,93
41,26,26-35,Male,5.0,1.8,Coding,Medium,4,22,6.6,1.8,Medium,90
42,26,26-35,Male,6.8,2.1,Research,Medium,8,14,5.0,0.3,High,78
43,24,26-35,Female,4.6,3.4,Learning,Medium,4,26,6.7,1.0,Medium,95
44,28,26-35,Male,4.2,3.6,Problem Solving,High,7,27,5.1,0.8,Medium,94
45,22,36-45,Male,3.8,2.8,Content Creation,Medium,4,13,6.4,0.8,Low,95
46,26,36-45,Male,7.4,0.6,Research,Medium,4,20,6.3,0.6,Medium,74
47,25,26-35,Male,3.4,2.6,Problem Solving,High,10,28,7.6,0.3,Low,95
48,25,18-25,Male,6.9,0.9,Problem Solving,Low,3,14,7.3,1.0,Medium,80
49,26,18-25,Female,7.1,2.0,Research,High,8,17,5.2,0.3,High,78
50,27,26-35,Male,6.6,0.5,Research,Low,9,29,6.2,1.0,Medium,77
51,26,36-45,Female,7.1,1.2,Research,Low,4,30,7.6,1.7,Medium,83
52,35,36-45,Male,4.9,2.4,Problem Solving,High,7,16,6.9,0.5,Medium,90
53,20,18-25,Female,2.8,2.2,Coding,Low,9,14,5.9,0.1,Low,92
54,32,18-25,Male,8.0,1.7,Learning,Low,9,30,6.4,1.1,Medium,78
55,27,36-45,Male,4.3,2.3,Research,High,7,27,6.9,0.2,Medium,90
