Timestamp,Age,AgeGroup,Gender,DailyScreenTime(hours),AI_Usage_Time(hours/day),Primary_AI_Use,Reliance_On_AI_For_Learning,Problems_Solved_Before_AI,Problems_Solved_With_AI,SleepHours,PhysicalActivity(hours),StressLevel,ProductivityScore
,23,18-23,Male,8.0,5.0,Coding,High,2,10,5.0,1.0,High,75
,21,18-24,Male,9.0,0.0,Learning,Medium,10,6,7.0,2.0,High,90
,21,18-25,Male,8.0,1.0,Learning,Medium,10,3,7.0,2.0,Medium,90
,21,20-22,Male,9.0,2.0,Learning,Medium,10,3,7.0,2.0,Medium,90
,22,20-22,Male,5.0,5.0,Coding,Medium,3,8,7.0,2.0,Medium,78
,21,18-25,Male,6.5,3.2,Learning,Low,3,25,7.0,1.4,Medium,91
,27,26-35,Female,5.8,1.5,Research,Medium,3,23,7.4,0.3,Medium,84
,19,26-35,Female,4.2,3.6,Content Creation,Low,5,25,7.0,1.7,Medium,95
,34,26-35,Male,7.2,2.3,Learning,Low,10,15,7.8,0.1,Medium,83
,33,26-35,Male,6.4,1.8,Coding,High,4,19,7.6,0.3,Medium,84
,27,26-35,Male,4.8,3.4,Coding,Medium,9,27,6.8,1.2,Medium,95
,29,36-45,Male,2.3,3.4,Problem Solving,Low,10,14,5.7,1.8,Low,95
,18,36-45,Male,3.2,2.2,Content Creation,Low,7,18,5.2,1.0,Low,92
,33,26-35,Male,3.1,4.0,Research,High,4,22,5.2,1.5,Low,95
,30,36-45,Female,6.9,3.2,Learning,Low,4,11,6.7,0.9,Medium,88
,23,26-35,Female,2.8,1.6,Content Creation,High,3,16,6.8,0.7,Low,93
,19,36-45,Male,5.1,1.0,Problem Solving,Low,9,16,6.5,0.1,Medium,82
,33,26-35,Male,2.3,0.7,Learning,Medium,3,24,6.9,1.0,Low,92
,26,26-35,Female,4.7,2.1,Learning,High,6,13,7.4,0.3,Medium,90
,24,26-35,Male,4.5,2.7,Coding,Low,8,20,5.9,1.2,Medium,92
,30,18-25,Female,3.6,1.8,Problem Solving,Low,9,22,7.6,1.1,Low,94
,27,26-35,Male,6.3,2.8,Coding,Medium,10,19,6.2,1.0,Medium,87
,25,26-35,Male,2.5,2.2,Content Creation,Medium,5,17,6.6,0.6,Low,95
,33,26-35,Female,2.7,1.9,Coding,Low,10,11,5.9,1.7,Low,95
